plot.no,sample.id,treatment,plant.height.cm,mass.g,mass.kg,area1.cm2,area2.cm2,area3.cm2,avg.area.cm2,area1.m2,area2.m2,area3.m2,SLA.m2.kg-1,LMA.g.m2,pathogen.infection1,pathogen.infection2,pathogen.infection3,pathogen.sum,final.pathogen
210,210-5,innoculation,72,0.236,0.000236,43.373,43.579,39.936,42.296,0.43373,0.43579,0.39936,1792.20339,0.557972385,1,1,1,3,1
210,210-6,innoculation,57,0.2501,0.0002501,41.012,41.281,37.829,40.04066667,0.41012,0.41281,0.37829,1600.986272,0.624614975,1,1,1,3,1
210,210-7,innoculation,102,0.3583,0.0003583,63.956,64.002,58.652,62.20333333,0.63956,0.64002,0.58652,1736.068471,0.576014147,1,1,1,3,1
401,401-1,natural,81,0.258,0.000258,41.158,41.331,37.876,40.12166667,0.41158,0.41331,0.37876,1555.103359,0.643044074,1,1,1,3,1
401,401-2,natural,92,0.3265,0.0003265,55.137,55.496,50.851,53.828,0.55137,0.55496,0.50851,1648.63706,0.606561641,1,1,1,3,1
401,401-3,natural,67,0.2372,0.0002372,41.77,42.226,38.696,40.89733333,0.4177,0.42226,0.38696,1724.170883,0.579988915,1,1,1,3,1
401,401-4,natural,114,0.3159,0.0003159,54.78,54.88,50.292,53.31733333,0.5478,0.5488,0.50292,1687.791495,0.592490247,1,1,1,3,1
401,401-5,natural,100,0.2788,0.0002788,54.003,54.312,49.772,52.69566667,0.54003,0.54312,0.49772,1890.088474,0.529075762,0,0,0,0,0
401,401-6,natural,120,0.3375,0.0003375,58.642,59.071,54.132,57.28166667,0.58642,0.59071,0.54132,1697.234568,0.58919375,1,1,1,3,1
401,401-7,natural,105,0.2955,0.0002955,50.726,50.86,46.609,49.39833333,0.50726,0.5086,0.46609,1671.686407,0.59819832,1,1,1,3,1
303,303-1,fungicide,70,0.3495,0.0003495,58.588,58.886,57.599,58.35766667,0.58588,0.58886,0.57599,1669.747258,0.598893033,0,1,0,1,0
303,303-2,fungicide,82,0.276,0.000276,43.068,43.373,42.425,42.95533333,0.43068,0.43373,0.42425,1556.352657,0.642527897,1,1,0,2,0
303,303-3,fungicide,94,0.219,0.000219,43.409,43.629,42.676,43.238,0.43409,0.43629,0.42676,1974.3379,0.506498913,0,1,0,1,0
303,303-4,fungicide,84,0.3787,0.0003787,63.165,63.525,62.137,62.94233333,0.63165,0.63525,0.62137,1662.063199,0.601661839,0,1,0,1,0
303,303-5,fungicide,59,0.1186,0.0001186,21.834,21.977,21.497,21.76933333,0.21834,0.21977,0.21497,1835.525576,0.544803087,1,1,0,2,0
303,303-6,fungicide,91,0.3086,0.0003086,52.92,53.254,52.09,52.75466667,0.5292,0.53254,0.5209,1709.48369,0.584971946,0,1,0,1,0
303,303-7,fungicide,101,0.32,0.00032,65.771,63.603,62.213,63.86233333,0.65771,0.63603,0.62213,1995.697917,0.501077839,0,0,0,0,0
308,308-1,natural,115,0.3895,0.0003895,73.943,73.916,67.737,71.86533333,0.73943,0.73916,0.67737,1845.066324,0.541985937,1,1,1,3,1
308,308-2,natural,106,0.4081,0.0004081,72.204,72.377,66.327,70.30266667,0.72204,0.72377,0.66327,1722.682349,0.580490072,1,1,1,3,1
308,308-3,natural,96,0.3135,0.0003135,55.532,55.887,51.215,54.21133333,0.55532,0.55887,0.51215,1729.229133,0.578292362,0,1,0,1,0
308,308-4,natural,108,0.3658,0.0003658,72.317,72.462,66.404,70.39433333,0.72317,0.72462,0.66404,1924.394022,0.5196441,1,1,1,3,1
308,308-5,natural,62,0.1642,0.0001642,27.991,28.236,25.875,27.36733333,0.27991,0.28236,0.25875,1666.707268,0.599985384,0,1,0,1,0
308,308-6,natural,120,0.2033,0.0002033,37.817,37.96,34.787,36.85466667,0.37817,0.3796,0.34787,1812.821774,0.551626207,1,1,1,3,1
308,308-7,natural,78,0.286,0.000286,45.433,45.574,41.764,44.257,0.45433,0.45574,0.41764,1547.447552,0.646225456,1,1,1,3,1
408,408-1,fungicide,125,0.2146,0.0002146,44.454,44.918,43.92,44.43066667,0.44454,0.44918,0.4392,2070.394532,0.48299973,0,0,0,0,0
408,408-2,fungicide,122,0.2507,0.0002507,48.402,48.504,47.427,48.111,0.48402,0.48504,0.47427,1919.066613,0.521086654,0,0,0,0,0
408,408-3,fungicide,130,0.4343,0.0004343,78.266,78.066,76.564,77.632,0.78266,0.78066,0.76564,1787.520147,0.559434254,1,1,1,3,1
408,408-4,fungicide,121,0.3246,0.0003246,58.496,58.769,57.464,58.243,0.58496,0.58769,0.57464,1794.300678,0.557320193,0,0,0,0,0
