,Alternaria_alternata,Annulohypoxylon_annulatum,Bipolaris_sorokiniana,Cercospora_sp._J1_LZ-2022,Cladosporium_sp.,Colletotrichum_coccodes,Colletotrichum_gloeosporioides,Colletotrichum_gloeosporioides ,Colletotrichum_gloeosporioides  ,Colletotrichum_sp.,Colletotrichum_trifolii,Daldinia_pyrenaica,Diaporthe_stewartii,Didymella_pinodella,Didymellaceae_sp._PGP8,fungal_endophyte_11,fungal_endophyte_111,fungal_endophyte_2,Guignardia_sp._MUCC0116,Hypomontagnella_submonticulosa,Hypoxylon_fragiforme,Moesziomyces_aphidis,Nemania_abortiva,Nemania_diffusa,Nemania_serpens  ,Nigrospora_sp.,Ophiocordyceps_robertsii,Pezizomycetes_sp.,Pezizomycetes_sp._genotype_614,Pleosporales_sp._A10,Purpureocillium_takamizusanense,Septoria_dysentericae,Sordariomycetes_sp.,Sordariomycetes_sp._genotype_349,Sordariomycetes_sp._genotype_529,Sordariomycetes_sp._genotype_css025,Talaromyces_amestolkiae,Trichoderma_sp.,uncultured_Pleosporales,Vestigium_trifidum,Xylaria_cubensis,Xylaria_longipes,Xylaria_sp._genotype_263,Xylariaceae_sp._genotype_590,Xylariales_sp.
408-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408-5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
408-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
408-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
409-3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
409-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409-6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
409-7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
