treatment,plot.no,sample.id,total.bac
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,1
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-2,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,1
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,1
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,0
natural,109,109-3,1
natural,109,109-3,0
natural,109,109-3,1
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,1
natural,109,109-4,0
natural,109,109-4,1
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,1
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-4,0
natural,109,109-5,0
natural,109,109-5,1
natural,109,109-5,1
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,1
natural,109,109-5,1
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-5,0
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,1
natural,109,109-6,1
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,1
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-6,1
natural,109,109-6,0
natural,109,109-6,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,1
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
natural,109,109-7,0
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,0
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,0
fungicide,203,203-1,1
fungicide,203,203-1,0
fungicide,203,203-1,1
fungicide,203,203-1,1
fungicide,203,203-1,0
fungicide,203,203-1,0
fungicide,203,203-1,0
fungicide,203,203-2,0
fungicide,203,203-2,0
fungicide,203,203-2,0
fungicide,203,203-2,1
fungicide,203,203-2,1
fungicide,203,203-2,0
fungicide,203,203-2,1
fungicide,203,203-2,0
fungicide,203,203-2,0
fungicide,203,203-2,1
fungicide,203,203-2,0
fungicide,203,203-2,1
fungicide,203,203-2,0
fungicide,203,203-2,1
fungicide,203,203-2,0
fungicide,203,203-2,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,1
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,1
fungicide,203,203-3,0
fungicide,203,203-3,0
fungicide,203,203-3,1
fungicide,203,203-3,0
fungicide,203,203-3,1
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,1
fungicide,203,203-4,0
fungicide,203,203-4,1
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-4,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,1
fungicide,203,203-5,1
fungicide,203,203-5,1
fungicide,203,203-5,1
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,0
fungicide,203,203-5,1
fungicide,203,203-5,1
fungicide,203,203-5,1
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-6,1
fungicide,203,203-6,0
fungicide,203,203-6,1
fungicide,203,203-6,1
fungicide,203,203-6,1
fungicide,203,203-6,1
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-6,1
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-6,0
fungicide,203,203-7,0
fungicide,203,203-7,0
fungicide,203,203-7,0
fungicide,203,203-7,1
fungicide,203,203-7,1
fungicide,203,203-7,1
fungicide,203,203-7,0
fungicide,203,203-7,1
fungicide,203,203-7,0
fungicide,203,203-7,1
fungicide,203,203-7,1
fungicide,203,203-7,0
fungicide,203,203-7,0
fungicide,203,203-7,1
fungicide,203,203-7,0
fungicide,203,203-7,0
natural,207,207-1,0
natural,207,207-1,1
natural,207,207-1,0
natural,207,207-1,1
natural,207,207-1,1
natural,207,207-1,1
natural,207,207-1,1
natural,207,207-1,0
natural,207,207-1,0
natural,207,207-1,1
natural,207,207-1,0
natural,207,207-1,1
natural,207,207-1,0
natural,207,207-1,1
natural,207,207-1,1
natural,207,207-1,0
natural,207,207-1,0
natural,207,207-2,1
natural,207,207-2,1
natural,207,207-2,0
natural,207,207-2,1
natural,207,207-2,0
natural,207,207-2,0
natural,207,207-2,0
natural,207,207-2,0
natural,207,207-2,0
natural,207,207-2,1
natural,207,207-2,1
natural,207,207-2,0
natural,207,207-2,1
natural,207,207-2,1
natural,207,207-2,1
natural,207,207-2,1
natural,207,207-3,0
natural,207,207-3,1
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-3,1
natural,207,207-3,0
natural,207,207-3,0
natural,207,207-4,1
natural,207,207-4,1
natural,207,207-4,0
natural,207,207-4,1
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,1
natural,207,207-4,0
natural,207,207-4,1
natural,207,207-4,0
natural,207,207-4,0
natural,207,207-4,1
natural,207,207-5,0
natural,207,207-5,1
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,1
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,0
natural,207,207-5,1
natural,207,207-5,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,1
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,0
